date time lon lat depth

1978-02-20 04:36:59.18 142.023 38.864 56.0

1979-03-10 20:21:54.45 141.679 37.32 39.4

1980-11-26 23:49:03.23 141.321 40.465 93.5

1981-01-18 09:43:36.88 143.082 38.56 31.2

1981-01-18 11:46:55.47 143.079 38.59 33.4

1981-01-19 01:14:07.54 142.957 38.667 37.8

1983-05-23 17:55:55.93 141.904 37.96 46.4

1983-11-16 10:44:08.08 141.553 37.402 43.7

1984-03-11 22:22:26.83 135.509 38.413 352.2

1984-03-25 18:59:34.77 141.554 37.393 44.3

1984-10-27 11:11:50.75 141.722 37.812 46.3

1987-01-09 06:14:46.34 141.632 39.894 70.7

1987-02-28 06:52:04.54 141.643 37.019 45.6

1987-03-10 16:14:52.02 145.307 40.675 19.0

1987-03-10 18:24:32.81 145.266 40.665 17.2

1987-05-26 12:07:54.24 142.317 38.277 37.9

1987-06-26 07:12:01.62 142.108 37.183 23.0

1987-09-13 14:07:42.12 144.744 39.487 13.6

1989-02-04 10:56:51.61 141.209 37.385 57.3

1989-06-14 21:44:34.16 144.609 40.2 14.0

1989-10-29 03:09:14.77 143.461 39.653 27.3

1989-10-29 10:51:26.88 143.431 39.553 17.0

1989-11-02 11:51:47.25 143.258 39.458 25.3

1989-11-23 15:49:44.50 143.158 39.896 36.2

1990-11-02 12:50:19.20 142.13 41.254 69.9

1992-01-22 01:06:56.57 140.357 38.483 116.1

1992-12-28 10:34:40.29 142.463 38.948 29.2

1992-12-31 07:02:44.74 142.483 38.932 28.6

1992-12-31 07:26:06.86 142.503 38.955 31.7

1993-01-13 01:31:55.88 142.501 38.905 33.3

1993-05-05 18:21:33.18 141.67 39.167 100.4

1993-11-27 06:11:24.36 141.195 38.627 110.0

1994-08-16 10:09:35.41 142.5 37.907 27.4

1994-12-10 09:26:44.23 142.099 38.344 54.1

1995-01-01 12:30:07.24 142.711 40.098 44.3

1995-03-12 04:40:47.87 143.373 40.293 35.3

1995-11-06 03:12:54.71 142.124 38.511 48.9

1995-12-21 11:38:04.88 142.564 40.756 55.0

1996-02-16 15:23:00.00 142.456 37.347 40.8

1996-04-23 04:08:02.39 141.435 39.265 73.8

1996-10-30 09:09:42.05 138.71 41.727 218.4

1996-12-03 15:49:14.25 139.547 37.496 142.3

1997-02-19 20:21:49.39 140.993 37.463 84.6

1997-12-07 03:50:41.70 141.592 37.746 86.0

1998-03-11 19:27:09.21 142.183 37.748 32.3

1998-11-23 19:48:11.81 141.451 38.038 80.8

1999-07-26 02:45:48.33 141.713 40.747 104.5

1999-11-15 01:34:37.03 142.279 38.33 49.5

2000-03-19 21:26:04.01 141.355 38.051 81.4

2001-03-24 21:24:32.36 143.263 38.389 21.1

2001-11-26 12:10:10.97 143.093 39.269 23.3

2001-12-02 13:01:54.78 141.117 39.428 123.8

2002-04-11 12:04:15.71 142.699 40.035 40.4

2002-05-06 08:12:05.57 142.098 38.519 45.5

2002-05-12 01:29:36.68 141.007 39.23 97.7

2003-02-16 03:03:49.97 141.05 37.446 67.5

2003-05-26 09:24:34.66 141.499 38.867 69.0

2003-10-31 14:15:11 139.835 38.631 154.2

2003-11-02 02:58:15.87 143.046 37.837 10.0

2004-01-23 09:01:31.40 141.018 37.292 66.8

2004-02-04 06:08:26.19 141.739 40.185 64.3

2004-09-18 20:46:44.84 143.088 40.885 39.3

2004-12-30 13:29:45.19 141.554 38.984 72.2

2005-02-26 12:37:40.52 142.38 40.733 68.7

2005-05-27 08:07:18.40 140.383 38.565 110.5

2005-07-02 00:31:51.95 143.124 39.546 49.2

2005-09-11 19:28:35.93 142.092 38.141 57.9

2005-11-01 16:08:59.09 144.825 37.607 14.8

2005-11-14 21:38:52.04 144.918 38.116 16.1

2005-12-04 22:20:27.76 142.431 37.897 40.2

2006-01-18 14:25:27.34 142.119 37.813 24.8

2008-04-16 19:19:36.42 140.038 39.054 167.8

2008-06-04 17:03:05.88 139.076 41.573 198.2

2008-09-22 07:31:58.90 140.523 41.533 149.3

